movie_id,person_category,person_name,person_id
20185784,actor,이솜,20110323
20193601,director,곽경택,10001931
20193601,director,김태훈,20151358
20193601,actor,김명민,10004060
20193601,actor,최민호,20209286
20193601,actor,김성철,20305090
20193601,actor,김인권,10005410
20193601,actor,곽시양,20187987
20192206,director,이해준,10058053
20192206,director,김병서,10004276
20192206,actor,이병헌,10055626
20192206,actor,하정우,10087253
20192206,actor,마동석,10021341
20192206,actor,전혜진,20112423
20192206,actor,배수지,20125828
20183096,director,이종언,20159971
20183096,actor,설경구,10035772
20183096,actor,전도연,10061252
20183096,actor,신안진,10040489
20109031,director,윤성호,20111376
20109031,actor,박혁권,10029480
20109031,actor,서영주,20111065
20109031,actor,황제성,20100011
20109031,actor,한예리,20090447
20109031,actor,박혁권,10029480
20109031,actor,박희본,20113591
20191371,director,이규철,20221911
20191371,actor,양방언,10046913
20184896,director,나딘 라바키,10006823
20184896,actor,자인 알 라피아,10033984
20184896,actor,요르다노스 시프로우,10080722
20184896,actor,보루와티프 트레저 반콜,10034007
20184896,actor,나딘 라바키,10006823
20198948,director,페르난도 메이렐레스,10083062
20198948,actor,안소니 홉킨스,10043531
20198948,actor,조나단 프라이스,10065458
20191591,director,윤웅대,20325325
20191591,actor,주종혁,20328652
20191591,actor,이해선,20328619
20191591,actor,송지용,20344869
20195621,director,윤형철,20273352
20195621,actor,이재웅,20330112
20195621,actor,김진희,20330132
20195621,actor,김홍경,20330133
20195621,actor,김송영,20330113
20195621,actor,임동현,20330114
20181087,director,권만기,20175184
20181087,actor,윤지혜,10054532
20181087,actor,김대건,20331358
20191546,director,남태제,10007605
20191546,director,김성환,20069623
20191546,director,김성환,20069623
20181114,director,박배일,20100687
20188121,director,이주호,20189913
20188121,actor,나잠 수,20199275
20188121,actor,JJ핫산,20332112
20188121,actor,김간지,20332113
20188121,actor,지,20331980
20188121,actor,홍기,20332114
20188121,actor,고건혁,20331981
20198962,director,노아 바움백,10008113
20198962,actor,스칼렛 요한슨,10038163
20198962,actor,아담 드라이버,20185628
20198962,actor,로라 던,10015972
20198942,director,마틴 스코세이지,10024735
20198942,actor,로버트 드 니로,10016564
20198942,actor,알 파치노,10044051
20198942,actor,조 페시,10065182
20198942,actor,하비 케이틀,10086891
20190602,director,줄리언 슈나벨,10069557
20190602,actor,윌렘 데포,10053013
20190602,actor,오스카 아이삭,10050495
20190602,actor,매즈 미켈슨,10025047
20190602,actor,루퍼트 프렌드,10018969
20190602,actor,윌렘 데포,10053013
20169284,director,강유가람,20112325
20169284,actor,삼숙,20333612
20169284,actor,나키,20333632
20169284,actor,영화,20333634
20184571,director,허진호,10088463
20184571,actor,최민식,10072251
20184571,actor,한석규,10087518
20192395,director,오자키 히로코우지,20274069
20192395,actor,하타노 유이,10087314
20192394,director,오자키 히로코우지,20274069
20192394,actor,린네 토우카,20331633
20192105,director,라이언 벨가드,20277529
20192935,director,나가에 타카미,20267409
20192936,director,토미죠 타로,20282891
20192934,director,나가에 타카미,20267409
20192633,director,타케시 코쿠류,20325435
20192634,director,아카바네 키쿠지로,10009923
20192635,director,사노 B사쿠,20312713
20192463,director,히로아키,20283950
20192463,actor,타치바나 메리,20341119
20192571,director,아카바네 키쿠지로,10009923
20191222,actor,코바야카와 레이코,10000378
20192569,director,쿠로아카 긴조,20329995
20192570,director,하라다 칸토나,20334092
20192576,actor,정이건,10062123
20192576,actor,우영광,10052205
20192631,director,아카바네 키쿠지로,10009923
20192632,director,히이라기 엔부,20324532
20194191,director,다니엘 파레,10009464
20191136,actor,오우라 마나미,20333408
20191134,director,히로아키,20283950
20191045,director,데니스 베리,10010774
20190843,director,지오반니 베로네시,10070145
20191468,director,앤드류 존스,10045933
20191707,director,윤준세,20326937
20197336,director,로렌 스카파리아,10016199
20197336,actor,제니퍼 로페즈,10062629
20197336,actor,콘스탄스 우,10076508
20197336,actor,릴리 라인하트,10078099
20197336,actor,줄리아 스타일즈,10069434
20176081,director,박소진,20188725
20176081,director,배세웅,20246209
20193534,director,이시카와 지로,10069850
20193534,actor,이치카와 마사미,20285529
20193869,director,최민현,20345652
20191980,director,이가온,20328933
20198049,director,박은석,20302969
20193405,director,윤준세,20326937
20192566,director,천성준,20325195
20191967,director,노현진,20281809
20191967,actor,민도윤,20223067
20193522,director,노현진,20281809
20193522,actor,민도윤,20223067
20193602,director,한우리,20326452
20193602,actor,진시아,20312574
20193602,actor,안민상,20306869
20193391,director,윤준세,20326937
20191145,director,최우성,20223066
20183970,director,김이슬,20312493
20185543,director,김이슬,20312493
20185543,actor,박주빈,20244309
20185543,actor,도모세,20234627
20193365,director,제임스 오,10064244
20193623,director,정현수,20329753
20193482,director,이재금,20312952
20192862,director,최민현,20345652
20194447,director,김성종,20332013
20191423,director,니쿠 미코토,10077865
20192739,director,최민현,20345652
20192866,director,이재훈,20327332
20193344,director,김환,20327252
